timestamp,price,currency,prev_close_price,open_price,low_price,high_price,ch,chp,ask,bid,price_gram_24k,price_gram_22k,price_gram_21k,price_gram_20k,price_gram_18k,price_gram_16k,price_gram_14k,price_gram_10k
2024-05-23T22:49:13.668037,1833.46,GBP,1870.655,1870.655,1833.05,1873.91,-37.19,-1.99,1833.92,1833.03,58.9471,54.0348,51.5787,49.1226,44.2103,39.2981,34.3858,24.5613
2024-05-23T23:43:18.184291,1837.185,GBP,1834.155,1834.155,1834.095,1837.36,3.03,0.17,1837.53,1836.84,59.0669,54.1446,51.6835,49.2224,44.3002,39.3779,34.4557,24.6112
2024-05-23T23:49:08.402882,1837.63,GBP,1834.155,1834.155,1834.095,1837.885,3.48,0.19,1838,1837.24,59.0812,54.1577,51.696,49.2343,44.3109,39.3875,34.464,24.6172
2024-05-23T23:56:19.371015,1837.62,GBP,1834.155,1834.155,1834.095,1838.02,3.46,0.2,1837.98,1837.24,59.0809,54.1575,51.6957,49.234,44.3106,39.3872,34.4638,24.617
2024-05-24T00:06:09.640176,1837.525,GBP,1834.155,1834.155,1834.095,1838.02,3.37,0.18,1837.9,1837.13,59.0778,54.1547,51.6931,49.2315,44.3084,39.3852,34.4621,24.6158
